,Nb_iterations,Call_down_and_in
227,11400,0.22868803931999493
228,11450,0.2280704429557076
229,11500,0.2275714384392447
230,11550,0.22757293900302272
231,11600,0.22697787963289504
232,11650,0.22732895517560478
233,11700,0.2288818562390986
234,11750,0.23061303324432197
235,11800,0.22996831329709796
236,11850,0.23001639121925974
237,11900,0.22929037307911473
238,11950,0.22900635398661712
239,12000,0.22997390082990443
240,12050,0.22959182879727236
241,12100,0.23026728993426612
242,12150,0.23018070742949653
243,12200,0.23037913975481558
244,12250,0.23163496117672658
245,12300,0.2316915007508689
246,12350,0.23291838580720337
247,12400,0.23282488978521784
248,12450,0.23360270429826077
249,12500,0.23266829348106774
250,12550,0.23236513810406337
251,12600,0.231443054222698
252,12650,0.23369521148031086
253,12700,0.23376812044452003
254,12750,0.23285138271728661
255,12800,0.2334041186997736
256,12850,0.23314362596863936
257,12900,0.2331770229546214
258,12950,0.23366049288304738
259,13000,0.23359265996447753
260,13050,0.23419841172801645
261,13100,0.2336897134893056
262,13150,0.23329595557825564
263,13200,0.23255843066547624
264,13250,0.23268865013480813
265,13300,0.2322566001070944
266,13350,0.23149931259696846
267,13400,0.23063550919175588
268,13450,0.23004734249873549
269,13500,0.2291953153042957
270,13550,0.22855634857612342
271,13600,0.2292987953091428
272,13650,0.22922199150422332
273,13700,0.2293519073508095
274,13750,0.22912107745927426
275,13800,0.22906394514538647
276,13850,0.22903680020438444
277,13900,0.22877482064772311
278,13950,0.2279953767046308
279,14000,0.22731694552093157
280,14050,0.2266718634691295
281,14100,0.22621248139477637
282,14150,0.22576243385863257
283,14200,0.22507159382465963
284,14250,0.22518998642294324
285,14300,0.2244619073477077
286,14350,0.2236798101095624
287,14400,0.22347542828488157
288,14450,0.22436242108465382
289,14500,0.22359534166390566
290,14550,0.22352199552344346
291,14600,0.22356714702152378
292,14650,0.22348209353727283
293,14700,0.22388679908622566
294,14750,0.2239708131041594
295,14800,0.22424940601401322
296,14850,0.22485084606854197
297,14900,0.22461273127905865
298,14950,0.22416905376874863
299,15000,0.2241498222382051
300,15050,0.2236540220442731
301,15100,0.22356495514561786
302,15150,0.22307848286614404
303,15200,0.2250689312982074
304,15250,0.22433100037591822
305,15300,0.2241227335470938
306,15350,0.22371785556354803
307,15400,0.22359635048520166
308,15450,0.2230799745457876
309,15500,0.22267550910366116
310,15550,0.22376924280135801
311,15600,0.22501437631571364
312,15650,0.2246393708958447
313,15700,0.22401392606931403
314,15750,0.2239756523529346
315,15800,0.22410220967129477
316,15850,0.22389794446407882
317,15900,0.22319386287771378
318,15950,0.22334557191608748
319,16000,0.22309884096187496
320,16050,0.22260844547674632
321,16100,0.22339942702668314
322,16150,0.22340800946709374
323,16200,0.22271847857367677
324,16250,0.2236006498896284
325,16300,0.22347007625213894
326,16350,0.22278668152353912
327,16400,0.22292327557360866
328,16450,0.2224444259908892
329,16500,0.22218338270669274
330,16550,0.22185045874282858
331,16600,0.22133240669739906
332,16650,0.2212584139706207
333,16700,0.22209748533948495
334,16750,0.2223814582950229
335,16800,0.22225351949381858
336,16850,0.22192039199450822
337,16900,0.22153149697876298
338,16950,0.2212878390820638
339,17000,0.22090985197078084
340,17050,0.22100269687068516
341,17100,0.220356490154689
342,17150,0.22159345741328135
343,17200,0.2210486508163965
344,17250,0.22086809596186913
345,17300,0.22024890299638625
346,17350,0.2196141799329961
347,17400,0.219902638766591
348,17450,0.22077787824227918
349,17500,0.22014708430444407
350,17550,0.2204144828338552
351,17600,0.22052318650946362
352,17650,0.2205052612245336
353,17700,0.22012408311068873
354,17750,0.22022815622501524
355,17800,0.22128591868809505
356,17850,0.2231844421754912
357,17900,0.22327247972587144
358,17950,0.22459453858664238
359,18000,0.2240569158904354
360,18050,0.22448000794660217
361,18100,0.22468954372702776
362,18150,0.22505518090456367
363,18200,0.22450998345596468
364,18250,0.22514295057378064
365,18300,0.2269555824495942
366,18350,0.2274624196299216
367,18400,0.2285308513636304
368,18450,0.22810463802356704
369,18500,0.22831669589748577
370,18550,0.22922900969311283
371,18600,0.22911074273571677
372,18650,0.2293914529802844
